6.43099133813059805e-014	1.51163729967024914e-014	3.29200170249559715e-014	1.97394307832630012e-001	2.40689588833892828e-013	1.05390063401763805e-013	2.02430699674865572e-001	1.27188504727035377e-012	1.50131848687978735e+001	3.96080137746106775e+000
3.37936855675122093e-010	3.39465819611673942e-014	2.02735919753268892e-002	9.36811801109945748e+001	4.45792970243870495e-012	7.34067433080579686e-010	9.81560540311888197e+000	2.69564265403602335e-012	1.95546848760624392e-001	1.77287940023939661e-001
1.39402014588489604e-012	1.78971243786532037e-011	1.11772264164070127e-012	3.22176143249771307e+000	1.30673813254972140e-013	8.86446509054942019e-013	1.42948026274906853e-001	2.97401548279888873e-012	2.90172691687511808e-001	2.59119757161447373e+000
1.32189994148026888e-008	3.62732637094599110e-003	2.37564917684167457e-004	3.48328937311988351e+000	8.89496714348701062e-002	4.14066220651449698e-002	6.22077248667288814e+002	8.58208647915744785e-008	1.11424463665646914e-001	1.50855355486493092e-001
4.50612655572093720e-003	3.69361968458702550e-003	8.62966049870745981e-003	1.81309728902630890e-001	1.47503264043927468e-001	5.43042744153328545e-003	3.57168270610574412e+000	5.93904687836913775e-003	1.42375492142606017e+001	1.84251127033751655e-001
1.75037395665189806e-011	1.88650688168561042e-011	7.42696893046841630e-012	1.36325735997929742e-001	6.28646616423352517e-011	2.71697718357226781e-001	2.58357358805054247e+001	3.62774805380895727e-011	2.65745218576857312e+001	3.54653402619862653e-011
1.13881290206511088e-008	7.13218226878979261e-002	1.74241773330845007e+001	2.15710650181200148e+000	1.63090353237746108e-002	1.57512841298361655e-001	3.21424789356571372e-002	1.46258188894004319e-009	8.95446146031243506e-002	2.16376570544109441e+001
5.77755377250241265e-008	1.50398699463851426e-001	6.64773547995949941e-012	4.31830252823366678e-002	1.55536212512230935e-009	2.41898680593311303e-006	1.89928617747144646e+000	7.47243954316928194e-002	7.49298271201656547e+001	1.31056947259922424e-001
6.70834727102649023e-003	1.18829133257930265e-011	2.37273122108381477e-003	2.86204625510747712e-001	1.10281510218285528e-002	7.18348606567875714e-011	2.60175213890328072e+000	2.40060352665364781e-011	2.99916726764351260e+000	1.38985045885431230e-001
1.74425180364559662e-010	7.70654854758299340e-002	2.88016803355503089e-009	1.08337408160204957e-001	1.38520303044825330e-009	4.36510349838571607e-002	1.56934910586025794e-001	1.02016126594259188e-005	5.04056827953045627e+002	3.19883485648039212e+001
3.19356506685903388e-002	5.96907838229380084e-003	1.38994803147040637e-002	8.54659196083360911e-002	2.67736021855043804e-001	2.95825902227541438e-010	1.26732198903887339e+000	5.23438663359684642e-002	6.86460527665997589e+000	2.42875323378969554e-001
1.44736011927756092e-001	8.70983084978025731e-011	2.64264153028122836e-010	6.86927205650931932e-002	1.39158378445244724e+000	9.47164918888358076e-001	2.19408830486634843e+000	3.71250658776180006e-010	7.38499849385047202e+000	3.41085578723349414e+001
3.19752665377550649e-002	4.62198502677612436e-002	9.85682374453903699e-003	1.05352567825177417e+001	1.17024737652958885e-001	8.13290693577109758e-002	9.44929683417144162e+001	4.06502996068364986e-002	3.28703823795874766e-009	6.82816770804033218e-002
